epoch,train_loss,val_loss,val_corr_seq,val_corr_type
0,420137106.1867524,-565.001681605597,0.5608415007591248,0.08011754602193832
1,-603.4233910626165,-550.634714322762,0.5364843606948853,0.06813345104455948
2,-604.5997885750631,-620.0475515037543,0.569657027721405,0.0647677481174469
3,-618.6987540463168,-621.7441852012377,0.5801228880882263,0.1087910607457161
4,3949.008329063649,0.998595568210582,-1.0971903066092636e-05,0.0009719201480038464
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
