epoch,train_loss,val_loss,val_corr_seq,val_corr_type
0,585234.3163183718,-586.6066637096883,0.007116563618183136,0.08643423020839691
1,-584.2068915789745,-586.6835801661169,0.0189181137830019,0.08744050562381744
2,-584.714677044596,-586.770413147342,0.015341692604124546,0.09378283470869064
3,-585.2344976640397,-586.7334728191511,0.019358372315764427,0.10449188947677612
4,-585.7415011513558,-587.1213582796379,0.03636900335550308,0.1224241554737091
5,-586.1426426169679,-587.1800028834759,0.03870440647006035,0.12542878091335297
6,-585.8689219750628,-586.403705883768,0.031000914052128792,0.06874914467334747
7,-586.1356621266855,-586.4471424204992,0.0020838098134845495,-8.093315409496427e-05
8,-586.0925772568389,-586.5070127917448,0.0026950181927531958,0.00016767357010394335
9,-586.1168395758602,-586.5078316229423,0.003581686643883586,-3.94790049540461e-06
10,-583.91622858835,-586.6434803586019,0.001170350587926805,-9.874118404695764e-05
11,-585.6830818647953,-586.6089435600472,0.004849210847169161,-9.56765070441179e-05
12,-586.2260998413772,-586.5143010593636,0.002918949583545327,0.00013987321290187538
13,-586.1563065789038,-586.5683268000571,-7.041050412226468e-05,-5.1390728913247585e-05
14,-584.3800931106746,-585.7475673507387,0.002119549550116062,0.0015304350527003407
15,-586.1476385938724,-586.531824505937,0.0005287755047902465,0.0005515656084753573
